,Year,State Name,RICE HARVEST PRICE (Rs per Quintal),ANNUAL RAINFALL (Millimeters),RICE AREA (1000 ha),RICE PRODUCTION (1000 tons),RICE YIELD (Kg per ha),RICE IRRIGATED AREA (1000 ha)
104,1975,2,422.3199351701783,769.7260869565217,5.926923076923076,8.55,615.881923076923,2.2192307692307693
10,1976,1,563.0877715451301,1058.081081081081,39.85405405405405,23.905405405405407,619.5778378378378,5.167567567567568
105,1976,2,519.0943772596934,700.3652173913043,6.115384615384615,8.192307692307692,889.676153846154,2.2
58,1976,0,150.18333333333334,1125.8833333333334,520.7666666666668,327.90000000000003,606.355,89.81666666666666
59,1977,0,146.51666666666665,1394.0833333333333,527.7666666666667,535.9833333333333,990.635,94.61666666666667
106,1977,2,440.9579416531605,646.2767710049424,7.050000000000001,9.069230769230767,915.7576923076924,2.1461538461538465
11,1977,1,567.0661499235084,1159.237837837838,41.41621621621622,32.55135135135136,712.9027027027028,5.3
107,1978,2,413.6002493454681,609.6739130434783,8.1,8.976923076923077,751.0769230769231,3.0846153846153848
60,1978,0,139.25,1316.3,536.75,408.3,752.16,102.5
12,1978,1,386.7103620601734,1143.6945945945945,42.432432432432435,28.14324324324324,631.6083783783783,5.532432432432432
61,1979,0,271.87054886211513,857.1166666666667,536.7166666666667,250.3,447.635,102.13333333333334
13,1979,1,398.78586435492093,762.6864864864865,41.04324324324324,9.483783783783784,255.26594594594596,5.127027027027027
108,1979,2,464.362242862486,456.52608695652174,7.126923076923077,3.857692307692308,371.1765384615385,2.965384615384615
62,1980,0,183.28333333333333,1476.0666666666666,549.9833333333332,474.7166666666667,855.4333333333334,103.66666666666669
14,1980,1,475.4326772055074,1071.8324324324326,41.32702702702702,32.27567567567568,663.6864864864865,5.302702702702702
109,1980,2,498.9319286871961,413.5772727272728,6.553846153846154,5.769230769230769,516.615,2.8076923076923075
63,1981,0,269.7872155287818,1142.55,549.4833333333333,469.0333333333333,832.6583333333333,106.33333333333331
110,1981,2,503.05500561027304,435.6863636363637,5.384615384615385,5.3307692307692305,457.1296153846154,1.6730769230769231
15,1981,1,379.2965017848037,928.0594594594594,40.92162162162162,27.478378378378377,572.1905405405405,5.07027027027027
64,1982,0,240.91666666666663,1122.2833333333333,548.1666666666666,400.63333333333327,729.1183333333333,116.21666666666668
